timestamp,status,block_number,tx_index,from,to,value,gas_limit,gas_used,gas_price
"2024-10-04 04:42:41.000",true,51339620,0,"0x1CbbeC856bc647e2D3bC049cDD51c74cd8F4d032","0x00e49a457cC01F980dFf77654696C57b34864a9D",0,27655,27310,25000000001
"2024-10-04 04:42:43.000",true,51339621,0,"0x622661aB4B6aB93c659e751F47eBB0c6e6ad9F48","0xE54Ca86531e17Ef3616d22Ca28b0D458b6C89106",0,600000,184961,32600000001
"2024-10-04 04:42:43.000",false,51339621,1,"0xD29180c882F2B0dE3B5832Fb69Ce5CD187ec896e","0x88de50B233052e4Fb783d4F6db78Cc34fEa3e9FC",9972000000000000000,966656,340071,27000000000
"2024-10-04 04:42:43.000",true,51339621,2,"0xCdE503A662899a6daa3dF0dDAc10CbfCCA1562A9","0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a",0,51724,51331,26825346000
"2024-10-04 04:42:45.000",true,51339622,0,"0x3053371ec553450b3492a6D4160B234022Bd78E9","0x069571BDA2f6Fbb2fEDcF18a7BbdA1014b485818",146966329414800000,436767,432170,25000000000
"2024-10-04 04:42:47.000",false,51339623,0,"0x548500D8eB7e2dcc3331d59dEc4ddCD2C35dA79f","0x1a1ec25DC08e98e5E93F1104B5e5cdD298707d31",0,1650000,64667,27000000000
"2024-10-04 04:42:47.000",true,51339623,1,"0xdBe0B71ab4394D1FCC6F0633E1eba663b25c3393","0x159cfD38DEac6BB7B95aBff3AA42063651c3c6F9",0,175904,116225,26500000000
"2024-10-04 04:42:48.000",true,51339624,0,"0x9aA4B22A616d5cBC6834d3e5Da877D17F93c2B77","0x05c1813EC7BEB8Bf744AC43feA25caFb650AC966",0,3918512,3608440,27500000000
"2024-10-04 04:42:51.000",true,51339625,0,"0xf89d7b9c864f589bbF53a82105107622B35EaA40","0xd402298a793948698b9a63311404FBBEe944eAfD",0,90000,51493,53000000000
"2024-10-04 04:42:51.000",true,51339625,1,"0x622661aB4B6aB93c659e751F47eBB0c6e6ad9F48","0x60aE616a2155Ee3d9A68541Ba4544862310933d4",0,600000,181075,25100000000
"2024-10-04 04:42:53.000",true,51339626,0,"0xFb821dfde8F43ed6fbf970153585038b0b3B49CC","0xe2DC74af81f6D8886607A99bCBb463a842519702",0,500000,138582,27209400000
"2024-10-04 04:42:53.000",true,51339626,1,"0x74B7ccFecDDf0370466A0d56Bd19C1BfD2EA5a7d","0xdCd54f57d21E73c8BB197ee0Fb207690B408dAd7",0,759398,386123,25215452587
"2024-10-04 04:42:54.000",true,51339627,0,"0x6621dcE7471f963F1105c169B500b8573edcDDb3","0x05c1813EC7BEB8Bf744AC43feA25caFb650AC966",0,9938013,3250956,29562499998
"2024-10-04 04:42:54.000",true,51339627,1,"0x9032d6b63560905B89660cfe9DfebC9eD55A5913","0x7f07152cA6bc0a787e93cDa710A0B2Ae7a93fCc6",29909603873200000,21000,21000,26940000000
"2024-10-04 04:42:57.000",true,51339628,0,"0x84ecF7E9aBf09aB50D9120442043E17B05FE7c9B","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,100000,44038,27000000000
"2024-10-04 04:42:57.000",true,51339628,1,"0x941669B22E108DC4e0639527f9f3202E0eB48B44","0x32b3094DcFEC79ae1247EC721362DEAEc5DE73C0",0,56149,55346,25000000001
"2024-10-04 04:42:57.000",true,51339628,2,"0x5fB29283c2cF472B86DB4f74A2B32F9CaF5578a4","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,57038,56232,25000000000
